# 모델이 옮기지 못한 낱말의 한국어 뜻.
#
# 대상 2만 개 중 879개는 몇 번을 물어도 뜻이 돌아오지 않는다. 이유는 두 갈래다.
#
# **① 가드레일**(594개) — 죽음·폭력·신체를 다루는 말이 `guardrailViolation` 으로 막힌다.
# 애니 자막에는 그것이 흔하다. 死ぬ·殺す·狙う·馬鹿 는 빈도 최상위권이고,
# 島(섬)·太い(굵다)처럼 왜 걸리는지 알 수 없는 것도 섞여 있다
# (JMdict 의 둘째 뜻이 은어인 탓이다).
#
# **② 그 밖**(297개) — 犬·猫·茶 같은 기본 낱말이 `unsupportedLanguageOrLocale` 로
# 돌아온다. 오래 돌린 프로세스에서 생기는 증상인 줄 알고 교대로 다시 물었지만
# (`translate-in-shifts.sh`), 이것들은 갓 띄운 프로세스에서도 그대로다.
# 마지막으로 297개만 따로 돌렸을 때 **한 건도 성공하지 못했다.**
#
# **프롬프트로 우회해 봤지만 쓸 수 없었다.** 일본어 표기를 빼거나 영어 뜻을
# 첫 하나로 줄이면 27개 중 14개가 뚫리는데, 그렇게 받은 것의 절반이 틀렸다
# (胸 → "몸의 중심부", 甘える → "기분 나쁜 사람처럼 행동하다", 刺す → "도끼로 칼집을 내다").
# 짧고 틀린 것은 `KoreanGloss.tidy` 가 걸러낼 방법이 없다. 그래서 손으로 적는다.
#
# 기능어 표와 같은 규칙이다 — 확신이 서지 않는 것은 넣지 않는다(13개를 뺐다).
# 빈 채로 두면 영어가 남을 뿐이지만, 틀린 한국어는 사용자가 믿는다.
死ぬ	しぬ	죽다
側頭部	そくとうぶ	관자놀이
バイブレーター	バイブレーター	진동기
ちくり	ちくり	따끔
触発	しょくはつ	촉발
野郎ども	やろうども	자식들
ぶち殺す	ぶちころす	때려죽이다
いちゃいちゃ	いちゃいちゃ	시시덕거림
密輸	みつゆ	밀수
踏んづける	ふんづける	밟다
牡丹	ぼたん	모란
ぶちかます	ぶちかます	들이받다
罵詈雑言	ばりぞうごん	온갖 욕설
主砲	しゅほう	주포
トロ	トロ	참치 뱃살
恰幅	かっぷく	풍채
刺突	しとつ	찌르기
ちくちく	ちくちく	따끔따끔
弾圧	だんあつ	탄압
フェチ	フェチ	페티시
神奈川県	かながわけん	가나가와현
アナル	アナル	항문
神童	しんどう	신동
裸身	らしん	알몸
快	かい	쾌락
貧乳	ひんにゅう	빈유
昂る	たかぶる	격해지다
ガツガツ	ガツガツ	게걸스럽게
生け捕り	いけどり	생포
血みどろ	ちみどろ	피투성이
磔	はりつけ	책형
殴り合う	なぐりあう	서로 치고받다
素っ裸	すっぱだか	알몸
食い破る	くいやぶる	물어뜯다
死罪	しざい	죽을죄
劣情	れつじょう	욕정
ボコる	ボコる	두들겨 패다
自虐	じぎゃく	자학
汚点	おてん	오점
レイプ	レイプ	강간
近衛兵	このえへい	근위병
色恋	いろこい	연애
ペロペロ	ペロペロ	할짝할짝
フェラ	フェラ	구강 성교
白目	しろめ	흰자위
抜き身	ぬきみ	뽑은 칼
斬り殺す	きりころす	베어 죽이다
尼	に	비구니
射止める	いとめる	쏘아 맞히다
枢機卿	すうききょう	추기경
排泄	はいせつ	배설
被害妄想	ひがいもうそう	피해망상
怒鳴り散らす	どなりちらす	고래고래 소리치다
人体実験	じんたいじっけん	인체 실험
ＢＬ	ビーエル	남성 동성애물
昆布	こんぶ	다시마
弾倉	だんそう	탄창
プンプン	プンプン	폴폴, 씩씩
聖水	せいすい	성수
ちゃっちゃと	ちゃっちゃと	후딱
遺志	いし	유지
夜這い	よばい	밤에 몰래 찾아듦
不浄	ふじょう	부정하다
鯛	たい	도미
狙い撃ち	ねらいうち	조준 사격
手榴弾	しゅりゅうだん	수류탄
吐血	とけつ	토혈
貫	かん	관
有頂天	うちょうてん	기고만장
食い殺す	くいころす	물어 죽이다
凶行	きょうこう	흉행
殴り倒す	なぐりたおす	때려눕히다
スタンガン	スタンガン	전기 충격기
狙撃手	そげきしゅ	저격수
斬り込む	きりこむ	베어 들어가다
マゾ	マゾ	마조히스트
斬り伏せる	きりふせる	베어 쓰러뜨리다
血眼	ちまなこ	혈안
モロ	モロ	대놓고
凄絶	せいぜつ	처절하다
柊	ひいらぎ	호랑가시나무
男根	だんこん	남근
たたき込む	たたきこむ	박아 넣다
すり寄せる	すりよせる	비벼 대다
アンドロイド	アンドロイド	안드로이드
打ち据える	うちすえる	후려치다
焼き殺す	やきころす	태워 죽이다
瞑目	めいもく	눈을 감음
絶交	ぜっこう	절교
ぶん投げる	ぶんなげる	내던지다
死線	しせん	사선
きもい	きもい	징그럽다
流れ弾	ながれだま	유탄
脅迫状	きょうはくじょう	협박장
自然現象	しぜんげんしょう	자연 현상
狗	いぬ	개
胸いっぱい	むねいっぱい	가슴 벅참
染み出す	しみだす	배어나오다
# ── 2026-09-05 · JESC 전체를 구운 뒤 남은 것 ──
# 스물한 개가 몇 번을 물어도 꼴을 못 갖췄다. 결이 셋이다 —
# 지명·고유명사를 음차만 하고 설명을 길게 붙이거나(岐阜·飛騨·台北),
# 영어를 그대로 남기거나(刺し身 "회 (raw sliced seafood)"),
# 관용 표현을 문장으로 풀어 놓는다(が早いか·早速ですが).
せよ	せよ	~라 하더라도
卒園	そつえん	유치원 졸업
外縁	がいえん	바깥 가장자리
鯰	なまず	메기
刺し身	さしみ	회, 사시미
正木	まさき	사철나무
ノミ屋	のみや	사설 마권업자
岐阜	ぎふ	기후(지명)
腹違い	はらちがい	배다른
飛騨	ひだ	히다(지명)
ぽっぽ	ぽっぽ	칙칙폭폭
台北	たいほく	타이베이
まんこ	まんこ	여성 성기(비속어)
尊	そん	술그릇, 존칭 접두사
小杉	こすぎ	작은 삼나무, 얇은 종이
鹿	か	사슴
立ち見	たちみ	서서 보기
が早いか	がはやいか	~하자마자
どこかしら	どこかしら	어딘가, 어쩐지
分の一	ぶんのいち	~분의 일
早速ですが	さっそくですが	바로 본론입니다만
# 색인이 걷어낸 것들. 뜻은 나왔는데 `KoreanGloss.tidy` 가 설명문으로 보고 뺐다 —
# 모델이 "가장 가까운 한국어 표현으로는" 하고 말을 시작하거나, 뜻을 문장으로 풀었다.
作為	さくい	작위, 꾸며냄
見せかける	みせかける	~인 척하다
あっと	あっと	앗, 순식간에
成りすまし	なりすまし	사칭
成り済まし	なりすまし	사칭
淫婦	いんぷ	음란한 여자
木漏れ日	こもれび	나뭇잎 사이 햇살
矢場	やば	활터
天下り	あまくだり	낙하산 인사
参拝	さんぱい	참배
斜め上	ななめうえ	엉뚱한 방향
子離れ	こばなれ	자식 독립시키기
土佐	とさ	도사(지명)
# ── 2026-09-06 · 빈도표에 복합 표현이 들어온 뒤 남은 것 ──
# 관용구·속담이 늘었다. 모델이 뜻 대신 설명을 길게 붙이거나 영어를 남긴 자리다.
かと	かと	~인가 하고
上から	うえから	위에서, 내려다보듯
こちらこそ	こちらこそ	저야말로
元へ	もとへ	제자리로
気が進まない	きがすすまない	내키지 않다
出ておいで	でておいで	나와 봐
尻軽女	しりがるおんな	헤픈 여자
察するに	さっするに	짐작건대
善は急げ	ぜんはいそげ	쇠뿔도 단김에
急がせる	いそがせる	재촉하다
陪審裁判	ばいしんさいばん	배심 재판
下手したら	へたしたら	자칫하면
万一のため	まんいちのため	만일을 위해
寂しがり屋	さびしがりや	외로움을 타는 사람
疑心暗鬼	ぎしんあんき	의심암귀
見るも	みるも	보기에도
いちご大福	いちごだいふく	딸기 찹쌀떡
百物語	ひゃくものがたり	괴담 백 편
下手をすると	へたをすると	자칫하면
不徳の致すところ	ふとくのいたすところ	제 부덕의 소치
愛のムチ	あいのむち	사랑의 매
早寝早起き	はやねはやおき	일찍 자고 일찍 일어나기
背に腹	せにはら	등과 배
見舞われる	みまわれる	덮치다, 당하다
過塩素酸	かえんそさん	과염소산
